                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 1.2039,                0.94576,                 1.2728,                 1.3051,                 1.1599,                 1.2879,                 0.7669,                0.58971,                0.66327,                0.33233,                 1.8216,                 1.6045,                 1.9733,                 1.8386,                 1.9023,                 1.9305,              0.0013028,              0.0013028,              0.0013028
                    116,                 1.1891,                0.93909,                 1.2657,                 1.2933,                 1.1412,                 1.2801,                0.74647,                0.58988,                0.67527,                  0.383,                 1.7799,                 1.5773,                  1.913,                 1.7816,                 1.8743,                 1.8527,              0.0012995,              0.0012995,              0.0012995
                    117,                 1.1815,                0.89777,                 1.2444,                 1.2975,                 1.0801,                   1.26,                0.71622,                0.63319,                0.67354,                  0.361,                 1.8178,                 1.6992,                 1.9636,                 1.8519,                 1.9454,                  1.906,              0.0012963,              0.0012963,              0.0012963
                    118,                 1.1773,                0.90123,                 1.2512,                 1.2845,                 1.0904,                 1.2706,                0.80271,                 0.5879,                0.67633,                0.37615,                 1.7805,                 1.6558,                 1.9471,                 1.7979,                 1.9941,                 1.8952,              0.0012931,              0.0012931,              0.0012931
                    119,                 1.1926,                0.93507,                 1.2643,                 1.3051,                 1.1307,                 1.2839,                0.72808,                0.61831,                0.67551,                0.37992,                 1.7652,                 1.6246,                 1.8967,                 1.7992,                 1.8734,                 1.8412,              0.0012899,              0.0012899,              0.0012899
                    120,                 1.1641,                0.91124,                 1.2464,                 1.2722,                 1.1012,                 1.2619,                0.75621,                0.65743,                0.70129,                0.38488,                 1.7987,                 1.6383,                 1.9673,                  1.799,                  1.898,                 1.8677,              0.0012867,              0.0012867,              0.0012867
                    121,                 1.1957,                0.94152,                 1.2646,                 1.2984,                  1.142,                 1.2846,                0.74954,                0.56671,                0.63703,                 0.3571,                  1.786,                 1.6395,                 1.9089,                 1.8181,                 1.9646,                 1.8585,              0.0012834,              0.0012834,              0.0012834
                    122,                 1.1672,                0.88889,                 1.2363,                 1.2763,                 1.0841,                 1.2497,                0.72547,                0.62143,                 0.6715,                0.39454,                 1.7199,                 1.5895,                 1.8913,                 1.7481,                 1.8703,                 1.8436,              0.0012802,              0.0012802,              0.0012802
                    123,                 1.1444,                0.88286,                 1.2333,                 1.2501,                 1.0709,                 1.2504,                0.70529,                0.59204,                0.64742,                0.35258,                 1.8101,                 1.7065,                 1.9471,                 1.8362,                 2.0273,                 1.9068,               0.001277,               0.001277,               0.001277
                    124,                 1.1685,                0.89644,                 1.2462,                 1.2836,                 1.0886,                 1.2671,                 0.7257,                0.61505,                0.67363,                0.36316,                 1.7889,                 1.5618,                 1.9512,                 1.7903,                 1.8392,                 1.8723,              0.0012738,              0.0012738,              0.0012738
                    125,                 1.1593,                0.89482,                 1.2537,                 1.2643,                 1.0821,                 1.2656,                0.73258,                0.58386,                0.66357,                0.36542,                 1.7595,                 1.6034,                 1.9204,                 1.8095,                 1.8783,                 1.8908,              0.0012705,              0.0012705,              0.0012705
                    126,                 1.1267,                0.86557,                 1.2282,                 1.2374,                 1.0167,                 1.2508,                0.78126,                0.59183,                0.66812,                0.36841,                 1.7747,                 1.6251,                 1.9548,                  1.786,                  1.936,                 1.9064,              0.0012673,              0.0012673,              0.0012673
                    127,                 1.1541,                0.90211,                 1.2521,                 1.2519,                 1.0898,                  1.268,                 0.7753,                 0.5614,                0.65498,                0.36235,                 1.7791,                 1.6597,                 1.9357,                 1.7815,                 1.9888,                 1.8776,              0.0012641,              0.0012641,              0.0012641
                    128,                 1.1612,                0.87875,                 1.2421,                 1.2737,                  1.066,                 1.2632,                0.73797,                0.64914,                0.69325,                0.37677,                 1.7628,                 1.5992,                  1.926,                 1.7972,                  1.856,                 1.8881,              0.0012609,              0.0012609,              0.0012609
                    129,                  1.146,                0.87961,                 1.2349,                 1.2642,                 1.0741,                 1.2617,                0.72761,                0.59695,                0.68372,                0.36787,                 1.7506,                 1.5221,                 1.9154,                 1.8144,                 1.7528,                  1.909,              0.0012576,              0.0012576,              0.0012576
                    130,                 1.1188,                0.86511,                 1.2258,                 1.2119,                 1.0542,                 1.2405,                 0.7579,                0.58704,                 0.6761,                0.36884,                  1.795,                  1.562,                 1.9611,                 1.8236,                 1.7994,                 1.9252,              0.0012544,              0.0012544,              0.0012544
                    131,                  1.156,                0.86659,                 1.2364,                 1.2599,                 1.0571,                 1.2567,                0.73818,                0.59873,                0.66667,                0.34025,                 1.8255,                 1.6231,                 1.9956,                 1.8655,                 1.8775,                 1.9722,              0.0012512,              0.0012512,              0.0012512
                    132,                 1.1293,                0.86786,                 1.2288,                 1.2392,                 1.0548,                 1.2527,                0.81467,                0.58546,                0.68454,                0.37246,                 1.7685,                 1.5633,                 1.9164,                 1.7886,                 1.8808,                 1.8657,               0.001248,               0.001248,               0.001248
                    133,                  1.146,                0.90184,                 1.2447,                 1.2671,                 1.0951,                 1.2704,                0.70614,                0.60609,                0.66098,                0.34595,                 1.7961,                 1.6604,                  1.945,                 1.8303,                   1.91,                 1.9171,              0.0012447,              0.0012447,              0.0012447
                    134,                 1.1411,                0.85188,                 1.2293,                 1.2459,                 1.0317,                 1.2545,                0.83352,                0.59293,                0.70217,                0.37896,                 1.7687,                 1.6209,                 1.9113,                  1.788,                 1.8913,                 1.8981,              0.0012415,              0.0012415,              0.0012415
                    135,                 1.1434,                0.85561,                 1.2169,                 1.2499,                 1.0177,                 1.2472,                0.70937,                0.62271,                0.67258,                0.35717,                 1.7642,                  1.647,                 1.9141,                 1.8347,                 1.9086,                 1.9075,              0.0012383,              0.0012383,              0.0012383
                    136,                 1.1009,                0.82847,                 1.2027,                 1.2073,                 1.0038,                 1.2273,                0.71624,                0.60191,                0.64837,                0.36691,                 1.7576,                 1.6972,                 1.9246,                 1.7906,                 1.9362,                 1.8905,              0.0012351,              0.0012351,              0.0012351
                    137,                  1.116,                0.82091,                 1.2004,                 1.2403,                0.99226,                 1.2216,                0.72927,                0.63212,                0.68335,                  0.385,                 1.7825,                 1.6108,                 1.9709,                  1.801,                 1.8714,                 1.9144,              0.0012319,              0.0012319,              0.0012319
                    138,                 1.1089,                0.85272,                 1.2104,                 1.2292,                 1.0302,                 1.2329,                0.70887,                 0.5885,                0.64226,                 0.3624,                 1.7914,                  1.602,                 1.9761,                 1.8043,                 1.8632,                 1.9144,              0.0012286,              0.0012286,              0.0012286
                    139,                  1.132,                0.85407,                 1.2243,                 1.2445,                 1.0312,                 1.2415,                0.76662,                0.62183,                0.68211,                0.37627,                 1.7498,                 1.5838,                 1.9251,                 1.7612,                 1.8429,                 1.8686,              0.0012254,              0.0012254,              0.0012254
                    140,                 1.1366,                0.85545,                 1.2251,                 1.2466,                 1.0228,                 1.2438,                0.71287,                0.62946,                 0.6756,                0.37561,                 1.7252,                 1.6067,                 1.9191,                 1.7796,                 1.8632,                 1.8713,              0.0012222,              0.0012222,              0.0012222
                    141,                 1.0985,                0.81574,                 1.2132,                 1.2124,                0.99074,                 1.2288,                0.72372,                0.62617,                0.66893,                0.37397,                 1.7779,                 1.6132,                 1.9043,                 1.7879,                 1.9249,                  1.847,               0.001219,               0.001219,               0.001219
                    142,                 1.1133,                0.82473,                 1.2123,                   1.22,                 1.0016,                 1.2284,                0.72863,                0.61387,                0.68262,                0.38116,                 1.7104,                   1.65,                 1.8751,                  1.761,                 1.9009,                 1.8243,              0.0012157,              0.0012157,              0.0012157
                    143,                 1.0855,                0.81231,                 1.1967,                 1.1914,                0.97655,                 1.2153,                0.76903,                0.62959,                0.68035,                0.38106,                 1.7713,                 1.6171,                 1.9197,                 1.7791,                 1.9151,                 1.8615,              0.0012125,              0.0012125,              0.0012125
                    144,                 1.1033,                0.82563,                 1.2027,                 1.2248,                 1.0095,                 1.2275,                0.76472,                0.60982,                0.67942,                0.38167,                 1.7365,                 1.5766,                 1.9066,                 1.7812,                 1.8449,                 1.8641,              0.0012093,              0.0012093,              0.0012093
                    145,                 1.1147,                0.82815,                 1.2163,                 1.2277,                0.99826,                 1.2343,                0.79485,                0.57751,                0.66849,                0.35915,                 1.7874,                 1.6471,                 1.9451,                 1.8198,                 1.9523,                 1.8885,              0.0012061,              0.0012061,              0.0012061
                    146,                 1.1102,                0.83321,                 1.2042,                 1.2064,                 1.0021,                 1.2173,                0.77658,                0.63821,                0.69082,                0.38416,                   1.74,                 1.6004,                 1.8965,                 1.8023,                 1.8419,                 1.8726,              0.0012028,              0.0012028,              0.0012028
                    147,                  1.088,                0.82093,                 1.1988,                 1.1979,                0.96396,                 1.2137,                0.81015,                0.58368,                0.69353,                0.39225,                 1.7096,                  1.501,                 1.8748,                 1.7626,                 1.8036,                 1.8394,              0.0011996,              0.0011996,              0.0011996
                    148,                  1.069,                0.79972,                 1.1799,                 1.1829,                0.94845,                 1.1974,                0.77703,                0.63789,                0.69549,                0.39158,                 1.7376,                 1.4968,                 1.9117,                 1.7871,                 1.7703,                 1.8889,              0.0011964,              0.0011964,              0.0011964
                    149,                 1.0761,                0.79576,                 1.1738,                 1.1789,                0.95162,                 1.1899,                0.80502,                0.61678,                0.69699,                0.39833,                 1.7128,                 1.5976,                 1.8873,                 1.7442,                 1.8583,                 1.8519,              0.0011932,              0.0011932,              0.0011932
                    150,                 1.0735,                0.81769,                 1.1941,                 1.1788,                0.95355,                 1.2119,                0.76366,                0.60311,                0.66853,                 0.3689,                  1.729,                 1.5884,                 1.8931,                 1.7847,                 1.8888,                 1.8792,                0.00119,                0.00119,                0.00119
                    151,                 1.0961,                0.82355,                 1.2032,                 1.2098,                0.99185,                 1.2144,                0.80481,                0.62981,                0.70798,                0.40035,                 1.7163,                 1.5685,                 1.9101,                 1.7737,                 1.8761,                 1.8807,              0.0011867,              0.0011867,              0.0011867
                    152,                  1.066,                 0.7919,                 1.1844,                 1.1747,                0.95611,                 1.1976,                0.76471,                0.65939,                0.69941,                 0.3998,                 1.7463,                 1.6635,                 1.9039,                 1.7801,                 1.9359,                 1.8759,              0.0011835,              0.0011835,              0.0011835
                    153,                 1.0851,                0.79765,                 1.1916,                 1.1885,                 0.9635,                 1.2104,                0.77871,                 0.6278,                0.68712,                0.39563,                 1.7146,                 1.5755,                 1.8928,                 1.7556,                 1.8411,                 1.8849,              0.0011803,              0.0011803,              0.0011803
                    154,                 1.0659,                0.77298,                 1.1891,                 1.1721,                0.93388,                  1.214,                0.76956,                0.63649,                0.69366,                0.38263,                 1.7184,                 1.5416,                 1.9301,                 1.7829,                 1.8312,                 1.8874,              0.0011771,              0.0011771,              0.0011771
                    155,                   1.08,                0.79788,                 1.1863,                 1.1958,                0.94775,                 1.2078,                0.78635,                0.62492,                0.70721,                0.38608,                 1.7242,                 1.5539,                 1.9538,                 1.7573,                 1.8082,                 1.8991,              0.0011738,              0.0011738,              0.0011738
                    156,                 1.0923,                0.82179,                 1.1983,                 1.2065,                0.99419,                 1.2194,                0.75619,                0.62609,                0.69337,                0.39701,                 1.7169,                 1.6072,                 1.9069,                 1.7627,                 1.8549,                 1.8557,              0.0011706,              0.0011706,              0.0011706
                    157,                 1.0873,                0.80283,                  1.189,                 1.1988,                0.95163,                 1.2054,                0.74659,                0.61481,                0.68986,                0.38991,                 1.7226,                 1.5625,                 1.9369,                 1.7528,                 1.8417,                 1.8647,              0.0011674,              0.0011674,              0.0011674
                    158,                 1.0566,                0.77649,                  1.168,                 1.1625,                0.92382,                 1.1856,                0.75534,                0.61167,                  0.689,                0.39711,                 1.7092,                  1.534,                  1.903,                 1.7478,                 1.8063,                  1.853,              0.0011642,              0.0011642,              0.0011642
                    159,                 1.0538,                0.78345,                 1.1689,                 1.1637,                0.93499,                 1.1919,                0.74296,                0.59815,                0.66048,                0.35409,                 1.8396,                 1.5904,                 2.0303,                 1.8384,                   1.91,                 1.9328,              0.0011609,              0.0011609,              0.0011609
                    160,                 1.0659,                0.79108,                 1.1831,                 1.1805,                0.96574,                 1.2002,                0.71363,                0.67258,                0.69329,                0.36896,                 1.7598,                 1.5922,                 1.9369,                 1.8227,                 1.8636,                 1.9119,              0.0011577,              0.0011577,              0.0011577
                    161,                 1.0572,                0.77391,                 1.1653,                 1.1789,                0.92205,                 1.1881,                0.74805,                0.65305,                 0.6887,                 0.3977,                 1.7498,                 1.5116,                 1.9388,                 1.7981,                 1.7978,                 1.9015,              0.0011545,              0.0011545,              0.0011545
                    162,                 1.0424,                0.76835,                 1.1725,                 1.1481,                  0.927,                 1.1928,                0.77535,                0.64229,                0.71276,                0.40207,                 1.7395,                 1.5229,                 1.9224,                 1.7883,                 1.8144,                 1.8897,              0.0011513,              0.0011513,              0.0011513
                    163,                 1.0582,                0.78304,                 1.1789,                 1.1667,                0.95165,                 1.1966,                0.81363,                0.63483,                0.72188,                0.40594,                 1.7003,                 1.5156,                 1.8717,                 1.7281,                 1.8026,                 1.8296,               0.001148,               0.001148,               0.001148
                    164,                 1.0383,                0.75463,                 1.1688,                 1.1468,                 0.8972,                 1.1933,                0.77223,                0.65071,                0.71654,                0.41559,                 1.7168,                 1.4621,                   1.89,                 1.7449,                 1.7316,                 1.8473,              0.0011448,              0.0011448,              0.0011448
                    165,                 1.0532,                0.76539,                 1.1654,                 1.1681,                0.91526,                 1.1919,                0.74409,                0.59864,                0.67031,                0.37311,                 1.7593,                 1.6245,                 1.9174,                 1.7855,                 1.9549,                  1.853,              0.0011416,              0.0011416,              0.0011416
                    166,                 1.0429,                0.75343,                 1.1647,                 1.1518,                0.87726,                 1.1929,                0.79231,                0.59594,                0.67935,                0.38094,                 1.7602,                 1.6244,                 1.9319,                 1.7622,                 1.9791,                 1.8867,              0.0011384,              0.0011384,              0.0011384
                    167,                 1.0549,                0.75692,                  1.183,                 1.1587,                0.89322,                 1.2034,                0.80364,                0.65565,                0.72049,                0.39814,                   1.74,                 1.5655,                 1.9364,                 1.7798,                  1.852,                 1.8926,              0.0011352,              0.0011352,              0.0011352
                    168,                 1.0258,                0.75722,                 1.1521,                 1.1491,                0.89849,                 1.1801,                0.79389,                 0.6354,                0.68492,                0.36723,                 1.7655,                 1.6198,                 1.9309,                 1.7684,                 1.9234,                 1.8823,              0.0011319,              0.0011319,              0.0011319
                    169,                 1.0408,                0.77488,                 1.1586,                 1.1486,                0.93738,                 1.1899,                0.80863,                0.64741,                0.70872,                0.40516,                 1.7067,                 1.5807,                 1.9146,                 1.7266,                 1.9135,                 1.8536,              0.0011287,              0.0011287,              0.0011287
                    170,                  1.067,                 0.7754,                 1.1742,                 1.2033,                0.93333,                 1.2073,                0.76653,                 0.6306,                0.69455,                0.39586,                 1.7009,                 1.5216,                 1.9043,                 1.7043,                 1.8274,                  1.837,              0.0011255,              0.0011255,              0.0011255
                    171,                  1.057,                0.78196,                 1.1758,                  1.171,                0.94748,                  1.204,                0.81135,                0.63068,                0.71003,                0.41751,                 1.6988,                  1.563,                 1.9008,                 1.7367,                 1.8305,                 1.8671,              0.0011223,              0.0011223,              0.0011223
                    172,                 1.0577,                0.75872,                  1.172,                 1.1651,                0.90016,                 1.1968,                0.81074,                 0.6286,                0.70832,                0.39964,                 1.7022,                 1.4783,                 1.8833,                 1.6996,                 1.8077,                 1.8242,               0.001119,               0.001119,               0.001119
                    173,                 1.0391,                0.74863,                 1.1595,                 1.1581,                0.88934,                 1.1824,                0.76292,                0.67346,                0.71081,                0.40873,                 1.6692,                 1.4605,                 1.8691,                 1.7182,                 1.8031,                 1.8302,              0.0011158,              0.0011158,              0.0011158
                    174,                 1.0143,                 0.7402,                 1.1531,                 1.1219,                0.88108,                  1.176,                0.79161,                0.65306,                0.71445,                 0.4053,                 1.7073,                 1.5317,                 1.9157,                 1.7705,                 1.8234,                 1.8702,              0.0011126,              0.0011126,              0.0011126
                    175,                 1.0357,                0.74308,                 1.1529,                  1.154,                0.88134,                 1.1803,                0.78082,                0.62013,                0.69997,                0.40203,                 1.6919,                  1.603,                  1.894,                 1.7444,                  1.923,                 1.8549,              0.0011094,              0.0011094,              0.0011094
                    176,                 1.0113,                 0.7343,                 1.1447,                 1.1219,                0.88595,                 1.1682,                0.79547,                0.61284,                0.68513,                  0.382,                 1.6995,                 1.5019,                 1.9058,                  1.741,                 1.8258,                 1.8509,              0.0011061,              0.0011061,              0.0011061
                    177,                  1.003,                 0.7213,                 1.1351,                 1.1173,                0.84729,                 1.1553,                0.86318,                 0.5973,                0.70655,                0.40127,                 1.6813,                 1.5147,                 1.8824,                 1.7287,                 1.8175,                 1.8596,              0.0011029,              0.0011029,              0.0011029
                    178,                  1.034,                 0.7148,                 1.1527,                 1.1452,                0.83455,                 1.1758,                0.77893,                 0.6399,                0.70516,                0.41538,                 1.7129,                 1.5166,                 1.8953,                 1.7427,                 1.8359,                 1.8603,              0.0010997,              0.0010997,              0.0010997
                    179,                 1.0015,                0.72876,                  1.149,                 1.1011,                0.85917,                   1.17,                0.81083,                0.60716,                0.68362,                0.39439,                 1.7187,                 1.5994,                 1.9017,                 1.7648,                 1.8732,                 1.8746,              0.0010965,              0.0010965,              0.0010965
                    180,                 1.0159,                0.73804,                 1.1488,                 1.1278,                0.88824,                 1.1699,                0.77915,                0.64291,                0.70575,                0.40646,                 1.6841,                 1.5685,                  1.911,                 1.7252,                 1.8424,                 1.8625,              0.0010933,              0.0010933,              0.0010933
                    181,                 1.0139,                0.73661,                 1.1528,                 1.1238,                0.86097,                 1.1745,                0.75099,                0.63454,                0.70489,                0.40448,                 1.7051,                 1.5096,                 1.9299,                 1.7209,                  1.806,                  1.853,                0.00109,                0.00109,                0.00109
                    182,                 1.0357,                0.74245,                 1.1564,                 1.1432,                0.87233,                 1.1713,                0.81255,                0.60863,                0.69512,                0.38298,                 1.7543,                 1.5727,                 1.9874,                 1.8252,                 1.8377,                 1.9473,              0.0010868,              0.0010868,              0.0010868
                    183,                 1.0277,                0.74403,                 1.1599,                 1.1336,                0.88149,                 1.1725,                0.79055,                0.66404,                 0.7106,                0.40145,                 1.7197,                 1.5995,                 1.9343,                  1.766,                 1.8856,                 1.9043,              0.0010836,              0.0010836,              0.0010836
                    184,                 1.0453,                0.72655,                 1.1463,                 1.1497,                0.88282,                 1.1686,                0.79014,                0.65214,                0.71513,                0.40832,                 1.7078,                 1.5509,                 1.9219,                 1.7363,                 1.8605,                 1.8593,              0.0010804,              0.0010804,              0.0010804
                    185,                 1.0175,                0.72738,                 1.1527,                 1.1278,                0.86454,                 1.1691,                0.80896,                0.58877,                 0.6669,                0.37826,                 1.7498,                 1.6243,                 1.9448,                  1.755,                  2.008,                 1.8733,              0.0010771,              0.0010771,              0.0010771
                    186,                 1.0034,                0.70851,                 1.1364,                 1.1058,                0.83377,                 1.1562,                 0.8137,                0.61332,                 0.6896,                0.40209,                 1.7122,                 1.6528,                 1.8943,                 1.7524,                 1.9459,                 1.8703,              0.0010739,              0.0010739,              0.0010739
                    187,                 1.0039,                0.70306,                 1.1479,                 1.1222,                 0.8307,                 1.1706,                 0.8109,                  0.635,                0.70346,                0.42381,                    1.7,                  1.547,                 1.9127,                  1.726,                 1.8351,                 1.8625,              0.0010707,              0.0010707,              0.0010707
                    188,                 1.0018,                0.72328,                 1.1421,                 1.1014,                0.88139,                 1.1626,                0.75636,                0.66406,                0.72249,                0.42752,                 1.6637,                 1.5097,                 1.8746,                 1.6872,                 1.8443,                 1.8308,              0.0010675,              0.0010675,              0.0010675
                    189,                0.99181,                0.73059,                 1.1344,                 1.1113,                0.85213,                 1.1616,                0.80502,                0.64422,                0.70653,                0.40808,                 1.7041,                 1.5805,                 1.9328,                 1.7456,                 1.9153,                 1.8894,              0.0010642,              0.0010642,              0.0010642
                    190,                0.99001,                0.69729,                 1.1253,                 1.0902,                0.80777,                 1.1423,                0.77796,                0.60766,                0.68191,                 0.3961,                 1.6869,                 1.5805,                 1.8873,                 1.7474,                 1.9236,                 1.8522,               0.001061,               0.001061,               0.001061
                    191,                 1.0041,                 0.7067,                 1.1401,                 1.1117,                0.83069,                  1.159,                0.78956,                0.62893,                0.69207,                0.40991,                  1.685,                  1.639,                  1.896,                 1.7464,                 1.9169,                 1.8621,              0.0010578,              0.0010578,              0.0010578
                    192,                 1.0038,                0.71843,                 1.1322,                  1.118,                0.84229,                 1.1503,                0.80387,                0.62725,                 0.6958,                0.41238,                 1.6644,                 1.6544,                 1.8337,                 1.7105,                 1.9556,                 1.8107,              0.0010546,              0.0010546,              0.0010546
                    193,                0.97701,                0.70447,                 1.1275,                 1.0965,                0.84281,                 1.1451,                0.78522,                0.60298,                0.70262,                0.39936,                 1.6943,                 1.5053,                 1.8897,                 1.7613,                 1.7901,                 1.8659,              0.0010513,              0.0010513,              0.0010513
                    194,                0.98447,                0.70727,                 1.1298,                 1.0909,                0.82302,                 1.1505,                0.81895,                0.64074,                0.72616,                0.41758,                 1.6361,                 1.5272,                 1.8481,                 1.6684,                 1.8468,                 1.8018,              0.0010481,              0.0010481,              0.0010481
                    195,                0.97002,                0.68286,                 1.1202,                 1.0842,                0.79938,                 1.1458,                0.81997,                0.64894,                0.71869,                0.41445,                 1.6556,                 1.6042,                 1.8654,                 1.7135,                  1.896,                 1.8316,              0.0010449,              0.0010449,              0.0010449
                    196,                0.98232,                0.70231,                 1.1232,                 1.0972,                0.82915,                  1.151,                0.85999,                0.59183,                0.70386,                0.41449,                 1.6512,                 1.6028,                 1.8679,                 1.6974,                 1.9228,                 1.8402,              0.0010417,              0.0010417,              0.0010417
                    197,                0.95791,                0.68699,                 1.1219,                 1.0614,                0.81943,                 1.1423,                0.78341,                0.65843,                0.71873,                0.42301,                 1.6603,                  1.538,                 1.8691,                 1.6983,                  1.854,                 1.8448,              0.0010385,              0.0010385,              0.0010385
                    198,                0.97024,                 0.6874,                 1.1153,                 1.0783,                0.79773,                 1.1357,                0.79511,                0.64313,                0.71193,                0.41607,                 1.6936,                 1.5051,                 1.9284,                 1.7361,                 1.8193,                 1.8688,              0.0010352,              0.0010352,              0.0010352
                    199,                0.97516,                0.67596,                 1.1189,                 1.0828,                0.79617,                 1.1415,                 0.8245,                0.66988,                0.73943,                0.41483,                 1.6922,                 1.5132,                 1.9087,                 1.7282,                 1.8133,                 1.8756,               0.001032,               0.001032,               0.001032
                    200,                0.94332,                0.66904,                  1.105,                 1.0456,                 0.7844,                 1.1293,                0.78173,                0.61763,                 0.6922,                0.40372,                  1.652,                 1.6258,                 1.8635,                 1.6849,                 1.9467,                 1.8151,              0.0010288,              0.0010288,              0.0010288
                    201,                0.96311,                0.68409,                 1.1147,                 1.0747,                0.79094,                 1.1373,                0.84731,                0.63239,                0.72443,                0.43141,                 1.6665,                 1.5854,                 1.8927,                 1.7091,                 1.8485,                 1.8429,              0.0010256,              0.0010256,              0.0010256
                    202,                0.96705,                0.68317,                 1.1165,                 1.0671,                0.78612,                 1.1417,                0.80844,                0.66725,                0.73239,                0.43238,                  1.609,                 1.5555,                  1.821,                 1.6755,                 1.8412,                 1.8029,              0.0010223,              0.0010223,              0.0010223
                    203,                0.95043,                0.67711,                 1.1134,                  1.069,                 0.7892,                 1.1414,                 0.7078,                 0.6743,                0.70176,                0.41258,                  1.682,                 1.5621,                 1.9055,                 1.7382,                 1.8761,                 1.8923,              0.0010191,              0.0010191,              0.0010191
                    204,                0.96478,                 0.6774,                 1.1199,                  1.079,                0.78486,                 1.1405,                0.82997,                0.63245,                0.71181,                0.40845,                 1.6798,                 1.5024,                 1.8876,                 1.7467,                 1.8185,                 1.8735,              0.0010159,              0.0010159,              0.0010159
                    205,                0.95508,                0.68352,                 1.1211,                 1.0675,                0.80392,                  1.138,                0.71701,                0.67456,                0.69673,                0.38923,                  1.702,                 1.5359,                 1.9446,                 1.7611,                 1.7889,                  1.916,              0.0010127,              0.0010127,              0.0010127
                    206,                0.95542,                 0.6547,                 1.1048,                 1.0666,                0.75357,                  1.126,                0.85634,                0.60433,                0.71948,                0.41417,                  1.669,                  1.561,                 1.8772,                 1.7173,                 1.8833,                 1.8508,              0.0010094,              0.0010094,              0.0010094
                    207,                0.98014,                0.68366,                 1.1171,                 1.1014,                0.78175,                 1.1475,                0.75408,                0.67214,                0.71943,                0.41874,                 1.6844,                  1.464,                 1.8904,                 1.7001,                 1.8155,                 1.8405,              0.0010062,              0.0010062,              0.0010062
                    208,                0.97586,                0.68085,                 1.1234,                 1.0956,                0.77549,                 1.1546,                0.81797,                0.65281,                0.72631,                0.41929,                 1.6601,                 1.5298,                  1.877,                 1.7265,                 1.8523,                 1.8752,               0.001003,               0.001003,               0.001003
