                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                  1.743,                 1.8735,                 1.6986,                 1.7249,                 2.3062,                 1.5947,                0.56167,                0.40317,                0.42093,                 0.2052,                 2.1783,                 2.5506,                 2.2032,                 2.0086,                 3.0167,                 1.9891,              0.0015993,              0.0015993,              0.0015993
                     24,                 1.7196,                 1.8475,                 1.6862,                 1.6919,                 2.3072,                 1.5759,                0.56832,                0.37846,                0.42114,                0.20751,                 2.0573,                 2.3605,                 2.1911,                 1.9639,                 2.7784,                 1.9893,              0.0015961,              0.0015961,              0.0015961
                     25,                 1.7265,                 1.8143,                 1.6881,                 1.7277,                 2.2927,                 1.5858,                 0.6315,                0.43625,                0.49421,                0.21501,                 2.0599,                 2.2533,                 2.1234,                 1.9699,                 2.6513,                 1.9548,              0.0015929,              0.0015929,              0.0015929
                     26,                 1.7138,                  1.787,                 1.6773,                 1.6942,                 2.2237,                 1.5627,                0.50687,                0.44218,                0.43381,                0.20553,                 2.0166,                 2.3831,                 2.1757,                 1.9239,                 2.7114,                 1.9048,              0.0015896,              0.0015896,              0.0015896
                     27,                 1.7085,                 1.7508,                 1.6478,                 1.7121,                 2.1718,                 1.5417,                0.55594,                0.43566,                0.46763,                 0.2341,                 2.0426,                 2.2071,                  2.099,                 1.9627,                 2.5293,                 1.9098,              0.0015864,              0.0015864,              0.0015864
                     28,                 1.7011,                 1.7402,                 1.6422,                 1.7194,                 2.1506,                 1.5508,                0.56997,                0.40525,                0.46343,                0.18839,                 2.0458,                 2.1523,                 2.0971,                 1.9754,                 2.5558,                 1.9411,              0.0015832,              0.0015832,              0.0015832
                     29,                 1.6605,                 1.7159,                 1.6245,                 1.6646,                 2.1424,                 1.5392,                0.47015,                0.41496,                0.39544,                0.17239,                 2.1463,                 2.4955,                 2.1499,                 2.0283,                  2.941,                 1.9775,                0.00158,                0.00158,                0.00158
                     30,                 1.6664,                 1.7132,                 1.6258,                 1.6661,                 2.1423,                 1.5414,                0.58485,                0.49101,                0.51882,                0.25005,                 2.0239,                 2.1773,                  2.138,                 1.9552,                  2.591,                 1.9428,              0.0015767,              0.0015767,              0.0015767
                     31,                 1.6643,                 1.7055,                 1.6297,                 1.6617,                 2.1501,                  1.541,                 0.5528,                0.43094,                0.46479,                0.21016,                 2.0489,                 2.1698,                 2.1647,                 1.9462,                 2.5534,                 1.9383,              0.0015735,              0.0015735,              0.0015735
                     32,                 1.6326,                 1.6572,                 1.5979,                 1.6605,                 2.0552,                 1.5136,                 0.5937,                0.44857,                0.50022,                0.26494,                  2.068,                 2.2828,                 2.1459,                 1.9368,                 2.6476,                 1.9143,              0.0015703,              0.0015703,              0.0015703
